Paule Maloubier-Tournier
Francois Bergot
Fernand Dauce
Doyen Louis Sauzin
Charles Foulon
Marguerite-Paule Guilbaud
J. L. W. L. Bloklander
Andre Chastagnol
A. Champigneulle
Janine Salbert
Yves Dautier
R. S. Loomis
L. Rouzeau
M. Wong
P. Huard
Margueritte-Paule Guilbaud
Foreville Raymonde
Jean Cormerais
V. Fave
Yeun ar Gow
A. Mussat
C.-T. Le Roux
P.-L. Gouletquer
Henri Enguehard
Jacques Mallet
Rene Sanquer
Alain Plouhinec
Joseph Levitre
Philippe Contamine
A. M.
P. Goubert
Francois Lebrun
B.A. Pocquet du Haut-Jusse
Louis Le Guillou
Gabriel Germain
Anne Joly-Segalen
Y. Meynier
Michel Rousse
Marie-Claire Le Moigne
Y. Dautier
Alain Lerond
Claude-Marie Le Lae
Y. Levot-Becot
Jean Maillard
Dr. M. Tessier
C.-T. Leroux
R. Sanquer
Jean-Baptiste Giard
J. Mallet
Henri Goallou
G. Devailly
P. Riche
J. Salbert
Jean Marmier
Yvon Le Bras
Luce Courville
M.-M. de la Garanderie
A. Bloch-Michel
M. Pote
Thomas Narcejac
Francis Gourville
G. Guillaume
Jean Dubois
Louis Guilbert
Henri Mitterand
F.-M. Le Provost
Dr M. Tessier
Claudia Plouhinec
L. Talec
Pierre Terouanne
Jacques Fierain
J.-B. Henry
Marcel Emerit
J. Meyer
S. Vierne
Marie-Helene Huet
Jean-Luc Steinmetz
Paul Surirey
Guy Lebatteux
R. Lagrange-Barreteau
Francis Gourvil
G. Godu
Gerard Viaud
G. Bellancourt
Dr Michel Tessier
P.L. Gouletquer
F. Le Provost
Anatole Rivoallan
Louis Durand-Vaugaron
Christiane Daire
Paul Bois
Helene Cadou
M. M. de la Garanderie
Paul Dimoff
J.-L. Steinmetz
Luc Benoist
M. M. G.
Claude Souviron
Jacques Bonnot
Germain Marc'Hadour
L. Le Guilou
J. Marmier
A. B.
R. Lagrange
J. -P. Chauveau
P. Flobert
J. L'helgouach
B. Bastien
M. Avery
J.-P. Ducouret
Dr. J. Lejards
J.-P. Pinot
Giot P R
l'Helgouach J.
Philippe Dain
Jean Bousquet
J. Gricourt
Guy Devailly
M. Trevien
J.-C. Sournia
T. Le Goff
J. Leguay
J. Queniart
Noel Blayau
M. Le Yaouanc
J.C. Sournia
A. Tudesq
M. Georgel
M. Imbert
Michel Meslin
L. Le Guillou
Pierre Barberis
Andre Lebois
M.-J. Gaulmier
P. Moreau
M. Grange
Manuel de Dieguez
E. Guitton
Pierre Cogny
Gwennole Le Menn
Charles Laurent
Roger Gargadennec
C.T. Le Roux
Jacques Briard
Yannick Guyader
G. Castel
Joel Lecornec
Patrick Galliou
Jean Cariou
Bertrand Chiche
Antoine Dos
Claude Brenot
Daniel Collet
Serge Chassagne
J. Le Goff
Jean-Rene Chotard
Jacques Brengues
Jean-Yves Mace
Patrick Besnier
Bernard Duchatelet
M.H. Pons
Leonard Jacques
G. Latimier
G. Pinault
L. Fleuriot
Claude Sterckx
Yves Guyader
P.R. Giot
B. Edeine
M. Petit
Denise Delouche
Andre Le Milinaire
Jacques Petit
Patrick Besniek
Gael Milin
E. Bachellery
Patrick Andre
Bernard Hallegouet
Y. Lecerf
Yvan Onnee
H. Poulain
M. Allard
Lionel Visset
Jean-Yves Eveillard
Y. Saget
Gwenael Leduc
Claude Langlois
Georges Mahe
J. Gaulmier
Lucie Fournel
M. Colombel
J. Peuziat
G. -T. Le Roux
G. Jouve
D. Aupest-Conduche
Claude Le Loch
Gerard Aubin
Paul Fabre
Marie-Jacqueline Desouches
Claude Nieres
Charles Lemaire
Max Fajn
R. Dupuis
H. F. Buffet
Jacques Gury
Denise Martin
Yves Jehanno
D.J. Shirt
Marmier Jean
P.-M. Duval
Gwenael Le Duc
C. Guyonvarc'h
G. Ar Menn
Eric P. Hamp
Alain Le Berre
J. R. Bourhis
P. R. Giot
Jean-Loic Meury
Loic Langouet
Georges Peyronnet
Michel Dhenin
Bernadette Malgorn
C. Frostin
Lebrun Francois
Delouche Denise
Jean Balcou
Corrie Siohan
Pierre Grosclaude
Jean Lebrec
Heather Dohollau
Leloup Daniel
Cariou Andre
Michel Lejeune
Louis Foucher
F. Morvannou
Xavier Martin
John J. Hurt
Chassagne Serge
O. de Croizant
Andre Chedeville
Herve Martin
B. Chevalier
B. Sachter
Jean de Viguerie
Louis Perouas
Robert Sauzet
Jacques Maillard
Madeleine Foisil
M. Faugeras
